time,open,high,low,close,VWAP,Upper Band #1,Lower Band #1,Upper Band #2,Lower Band #2,Upper Band #3,Lower Band #3,Plot,Plot,Plot,Volume,Volume MA,EMA,Smoothing Line,Developing Poc,Developing VA High,Developing VA Low,Developing Poc,Developing VA High,Developing VA Low
1580999400,46.661287,53.05528,45.799954,49.930617,49.59528366666666,49.59528366666666,49.59528366666666,49.59528366666666,49.59528366666666,49.59528366666666,49.59528366666666,53.05528,45.799954,46.661287,598211878,388397380.7,23.693516156842662,23.125243599566502,NaN,NaN,NaN,NaN,NaN,NaN
1581085800,48.703285,51.316615,48.666618,49.871283,49.95150533333333,49.95150533333333,49.95150533333333,49.95150533333333,49.95150533333333,49.95150533333333,49.95150533333333,51.316615,48.666618,48.703285,255953070,379847623.4,23.953991448814378,23.412393559769818,NaN,NaN,NaN,NaN,NaN,NaN
1581345000,53.33328,54.665945,50.15995,51.418615,52.08150333333333,52.08150333333333,52.08150333333333,52.08150333333333,52.08150333333333,52.08150333333333,52.08150333333333,54.665945,50.15995,53.33328,370337815,388631880.45,24.22727128514458,23.695529424846733,NaN,NaN,NaN,NaN,NaN,NaN
1581431400,51.252615,52.233688,50.533283,51.625282,51.46408433333333,51.46408433333333,51.46408433333333,51.46408433333333,51.46408433333333,51.46408433333333,51.46408433333333,52.233688,50.533283,51.252615,175462270,377429063.75,24.499888307182943,23.960898779823385,NaN,NaN,NaN,NaN,NaN,NaN
1581517800,51.857948,52.649947,50.891282,51.152616,51.564614999999996,51.564614999999996,51.564614999999996,51.564614999999996,51.564614999999996,51.564614999999996,51.564614999999996,52.649947,50.891282,51.857948,180337230,364649870.75,24.765089577758236,24.227951355148523,NaN,NaN,NaN,NaN,NaN,NaN
1581604200,49.455951,54.533279,48.999951,53.599946,52.37772533333334,52.37772533333334,52.37772533333334,52.37772533333334,52.37772533333334,52.37772533333334,52.37772533333334,54.533279,48.999951,49.455951,394340614,371340265.2,25.052003572009397,24.499648838181873,NaN,NaN,NaN,NaN,NaN,NaN
1581690600,52.481281,54.197946,52.366614,53.33528,53.29994666666666,53.29994666666666,53.29994666666666,53.29994666666666,53.29994666666666,53.29994666666666,53.29994666666666,54.197946,52.366614,52.481281,235405900,366808054.15,25.333429208108807,24.77553639004076,NaN,NaN,NaN,NaN,NaN,NaN
1582036200,56.106611,57.333276,55.490611,57.226609,56.68349866666667,56.68349866666667,56.68349866666667,56.68349866666667,56.68349866666667,56.68349866666667,56.68349866666667,57.333276,55.490611,56.106611,250475785,369110028.45,25.65077428066494,25.06023698914483,NaN,NaN,NaN,NaN,NaN,NaN
1582122600,61.566605,62.98527,60.06794,61.161272,61.40482733333334,61.40482733333334,61.40482733333334,61.40482733333334,61.40482733333334,61.40482733333334,61.40482733333334,62.98527,60.06794,61.566605,381344751,374824649.4,26.00411256642947,25.361081840994135,NaN,NaN,NaN,NaN,NaN,NaN
1582209000,60.796606,60.799939,57.329276,59.960607,59.363274,59.363274,59.363274,59.363274,59.363274,59.363274,59.363274,60.799939,57.329276,60.796606,264523659,364524037.85,26.34198813293266,25.676461552029018,NaN,NaN,NaN,NaN,NaN,NaN
