time,open,high,low,close,VWAP,Upper Band #1,Lower Band #1,Upper Band #2,Lower Band #2,Upper Band #3,Lower Band #3,Plot,Plot,Plot,Volume,Volume MA,EMA,Smoothing Line,Developing Poc,Developing VA High,Developing VA Low,Developing Poc,Developing VA High,Developing VA Low
1428413400,82.65,83.42,82.22,82.32,82.65333333333332,82.65333333333332,82.65333333333332,82.65333333333332,82.65333333333332,82.65333333333332,82.65333333333332,83.42,82.22,82.65,17467042,25696929.3,74.45149354909887,74.29541155346647,NaN,NaN,NaN,NaN,NaN,NaN
1428499800,82.63,83.1,81.84,82.275,82.405,82.405,82.405,82.405,82.405,82.405,82.405,83.1,81.84,82.63,18966732,25491913.05,74.52933938443122,74.37258158776032,NaN,NaN,NaN,NaN,NaN,NaN
1428586200,82.5,82.8,81.71,82.17,82.22666666666667,82.22666666666667,82.22666666666667,82.22666666666667,82.22666666666667,82.22666666666667,82.22666666666667,82.8,81.71,82.5,15927281,25277491.9,74.60536585821798,74.44998873614082,NaN,NaN,NaN,NaN,NaN,NaN
1428672600,82.21,82.61,81.91,82.04,82.18666666666667,82.18666666666667,82.18666666666667,82.18666666666667,82.18666666666667,82.18666666666667,82.18666666666667,82.61,81.91,82.21,12529738,25099312.85,74.67934231734019,74.52759083826878,NaN,NaN,NaN,NaN,NaN,NaN
1428931800,81.93,83.94,81.92,83.01,82.95666666666666,82.95666666666666,82.95666666666666,82.95666666666666,82.95666666666666,82.95666666666666,82.95666666666666,83.94,81.92,81.93,26883094,25515602.75,74.76223443358556,74.60555510853476,NaN,NaN,NaN,NaN,NaN,NaN
1429018200,83.17,83.69,82.44,83.515,83.21499999999999,83.21499999999999,83.21499999999999,83.21499999999999,83.21499999999999,83.21499999999999,83.21499999999999,83.69,82.44,83.17,19634173,25532041.1,74.84932662827626,74.68512172437023,NaN,NaN,NaN,NaN,NaN,NaN
1429104600,83.55,83.66,82.27,82.705,82.87833333333333,82.87833333333333,82.87833333333333,82.87833333333333,82.87833333333333,82.87833333333333,82.87833333333333,83.66,82.27,83.55,22390943,25543089.8,74.92749253247251,74.76475235397848,NaN,NaN,NaN,NaN,NaN,NaN
1429191000,82.47,83.07,82.15,82.31,82.51,82.51,82.51,82.51,82.51,82.51,82.51,83.07,82.15,82.47,13769687,24385951.85,75.00095031821905,74.84386924597871,NaN,NaN,NaN,NaN,NaN,NaN
1429277400,81.48,82.11,80.37,80.775,81.08500000000001,81.08500000000001,81.08500000000001,81.08500000000001,81.08500000000001,81.08500000000001,81.08500000000001,82.11,80.37,81.48,24214983,23491724.85,75.05840354888355,74.91968149228738,NaN,NaN,NaN,NaN,NaN,NaN
1429536600,81.54,83.15,81.24,83.09,82.49333333333333,82.49333333333333,82.49333333333333,82.49333333333333,82.49333333333333,82.49333333333333,82.49333333333333,83.15,81.24,81.54,28796761,22708246.75,75.13831993148172,74.99489859186662,NaN,NaN,NaN,NaN,NaN,NaN
